NODE_INDEX,SITEID,MOD_CELL_ID,CELLNAME,SITENAME,SITE_TYPE,REGION,KABUPATEN,KECAMATAN,LAC_TAC,ENODEB_ID,GNB_ID,RNC_ID,LONGITUDE,LATITUDE,TECHNOLOGY,BAND,ANTENNA_MODEL,ANTENNA_HEIGHT,AZIMUTH,AZIMUTH_SIN,AZIMUTH_COS,MT,ET,HORIZONTAL_BEAM_WIDTH,VENDOR,FLAG_PROCESS,FLAG_PULL,RET_NONRET,DATE,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,CELL_CSFB_RATE,CELL_PINGPONG_RATE,SETUP_FAIL_CALL_FLAG,OUT_HO_SUM,OUT_EDGE_COUNT,OUT_NEIGHBOR_COUNT,IN_HO_SUM,IN_EDGE_COUNT,IN_NEIGHBOR_COUNT,HO_TOTAL,OUT_IN_RATIO
1869,SiteID_173,ModCell_1870,Cell_1870,SiteName_290,Massive MIMO,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,2300.0,ASI4518R10v06,28.1,187.0,-0.12186934340514731,-0.9925461516413221,2.0,5.0,120,HUAWEI,F,P,RET,2025-09-14,150421,38,0,152,0,150611,0.9987384719575596,0.000252305608488,0.0,-90.31624243621955,-102.6666030883789,-77.0,-9.012123023000717,40.129286163493816,64.0,4387.390205346025,1325.9056843597846,157125644.52841645,11674289.556700604,2839255229.0,0.0010092224339523,18851.579426469518,0,7795.0,86.0,86.0,17759.0,139.0,139.0,25554.0,0.438963963963964
1870,SiteID_173,ModCell_1871,Cell_1871,SiteName_290,Massive MIMO,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,2300.0,ASI4518R10v06,28.1,287.0,-0.9563047559630354,0.2923717047227367,2.0,2.0,120,HUAWEI,F,P,RET,2025-09-14,100475,129,0,153,0,100757,0.9972011870143016,0.0012803080679258,0.0,-91.6920311690212,-103.27269744873048,-79.6666030883789,-9.021064705447705,37.83772565384591,80.0,4538.992181054649,1324.7854590334694,113379665.44870909,9111631.228300218,1892409182.0,0.0015185049177724,18781.91274055401,0,4405.0,61.0,61.0,10126.0,135.0,135.0,14531.0,0.4350745531746815
1871,SiteID_173,ModCell_1872,Cell_1872,SiteName_290,Massive MIMO,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,2300.0,ASI4518R10v06,28.1,52.0,0.788010753606722,0.6156614753256583,2.0,5.0,120,HUAWEI,F,P,RET,2025-09-14,52658,105,0,76,0,52839,0.9965744998959102,0.0019871685686708,0.0,-91.3878678361708,-103.25,-73.5999984741211,-9.24501444506098,53.05453286055293,90.6666030883789,3588.243656225668,1314.632345701781,22643907.52100052,3053928.773199899,1012058928.0,0.0014383315354189,19153.635155850792,0,2322.0,56.0,56.0,7159.0,41.0,41.0,9481.0,0.3244413407821229
1872,SiteID_173,ModCell_1873,Cell_1873,SiteName_204,Macro,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,1800.0,ASI4518R10v06,28.1,287.0,-0.9563047559630354,0.2923717047227367,2.0,2.0,65,HUAWEI,F,P,RET,2025-09-14,125995,63,0,191,0,126249,0.9979881028760624,0.000499013853575,0.0,-98.20975008232874,-112.0,-83.83329772949219,-10.375316933957311,52.170628374779966,82.4000015258789,3958.2073902117727,1263.517722122382,80782138.21910858,8772297.751600279,2427894515.0,0.0015128832703625,19230.99996831658,0,33462.0,134.0,134.0,6986.0,82.0,82.0,40448.0,4.789323028481466
1873,SiteID_173,ModCell_1874,Cell_1874,SiteName_204,Macro,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,1800.0,ASI4518R10v06,28.1,52.0,0.788010753606722,0.6156614753256583,2.0,5.0,65,HUAWEI,F,P,RET,2025-09-14,146796,105,0,414,0,147315,0.9964769371754404,0.0007127583749109,0.0,-103.76087730689191,-116.42849731445312,-92.5,-11.880215562901938,69.91512616962514,96.0,3702.054215241109,1490.54957567796,86458446.33610953,13339718.310600225,2835184878.0,0.0028103044496487,19245.73110681193,0,24789.0,147.0,147.0,4739.0,74.0,74.0,29528.0,5.229957805907173
1874,SiteID_173,ModCell_1875,Cell_1875,SiteName_204,Macro,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,900.0,ASI4518R42v06,33.4,187.0,-0.12186934340514731,-0.9925461516413221,2.0,5.0,120,HUAWEI,F,P,RET,2025-09-14,10002,17,0,49,0,10068,0.9934445768772348,0.0016885180770758,0.0,-99.92499852853015,-110.70580291748048,-89.1666030883789,-10.229676391901268,65.8533626563896,96.0,5544.132999729388,1125.4811962426763,51711456.68150054,4135965.110399981,202441729.0,0.0048669050456893,20107.4422924116,0,3042.0,58.0,58.0,13392.0,86.0,86.0,16434.0,0.2272082431120734
1875,SiteID_173,ModCell_1876,Cell_1876,SiteName_204,Macro,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,900.0,ASI4518R42v06,33.4,287.0,-0.9563047559630354,0.2923717047227367,2.0,5.0,120,HUAWEI,F,P,RET,2025-09-14,9916,21,0,43,0,9980,0.9935871743486974,0.0021042084168336,0.0,-100.98011628726202,-115.09089660644533,-81.1427993774414,-10.317335596161042,67.31628235675286,96.0,4017.266753417608,821.5268807241986,23882738.399000112,2283412.2517999816,198229919.0,0.0043086172344689,19862.717334669334,0,2146.0,41.0,41.0,13771.0,60.0,60.0,15917.0,0.1558960209119953
1876,SiteID_173,ModCell_1877,Cell_1877,SiteName_204,Macro,Region_1,District_1,SubDistrict_3,1000,50173,,,61.632633000000006,8.989557000000001,4G,900.0,ASI4518R42v06,33.4,47.0,0.7313537016191705,0.6819983600624985,2.0,5.0,120,HUAWEI,F,P,RET,2025-09-14,10961,60,0,59,0,11080,0.989259927797834,0.0054151624548736,0.0,-107.33503625022806,-117.7418975830078,-97.0,-11.740136307026075,78.09056297650362,96.0,3145.238838773844,620.929811591134,18514481.846800014,3251520.66839999,241794097.0,0.0053249097472924,21822.571931407943,0,3621.0,69.0,69.0,8665.0,41.0,41.0,12286.0,0.4179552273251788
1877,SiteID_157,ModCell_1878,Cell_1878,SiteName_291,Macro,Region_1,District_1,SubDistrict_5,1000,50156,,,61.658930000000005,9.003038,4G,1800.0,APE4516R1v06,22.0,307.0,-0.798635510047293,0.6018150231520479,2.0,4.0,65,HUAWEI,F,P,RET,2025-09-14,131092,14,0,220,0,131326,0.9982181746188874,0.0001066049373315,0.0,-97.7502978485102,-108.11109924316406,-86.70580291748047,-10.83894979478294,59.000507262165634,90.6666030883789,3691.9754260787554,1504.620283766485,85209889.023912,11427698.934999796,3739144056.0,0.0016752204437811,28472.229840244887,0,13678.0,92.0,92.0,12264.0,97.0,97.0,25942.0,1.11528740317978
1878,SiteID_157,ModCell_1879,Cell_1879,SiteName_181,Macro,Region_1,District_1,SubDistrict_5,1000,50156,,,61.658930000000005,9.003038,4G,2300.0,AQU4518R21v06,36.0,127.0,0.7986355100472927,-0.6018150231520484,3.0,8.0,120,HUAWEI,F,P,RET,2025-09-14,180344,31,0,167,0,180542,0.9989033022786942,0.0001717051987903,0.0,-92.57994308177562,-101.3332977294922,-84.0,-9.688465565364796,57.21019125920349,96.0,3703.411533534221,1346.3376420481245,150889602.4557107,13663415.531501953,5114658388.0,0.0009249925225155,28329.465653421365,0,16153.0,203.0,203.0,31529.0,209.0,209.0,47682.0,0.512337456390739
