SRC_CELL_ID,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE
147003_21,154644,41,0,292,1,-91.28914728304852,-102.0,-81.0,-12.60604568395984,35.27512276446029,64.0,4261.593591237219,1557.611921869152,98791758.7034154,13495430.50560016,3480725844,154978,0.9978448553988308,0.0002645536785866381,0.0
147003_22,77167,113,0,226,0,-102.8109965854604,-111.5924987792969,-92.5,-11.39980214469538,48.41401297994533,80.0,3339.092935416559,843.5157285091743,81380882.34160563,9251532.774800152,1616657221,77506,0.9956261450726396,0.001457951642453487,0.0
147003_23,402277,83,0,796,0,-90.31907376067946,-101.6666030883789,-80.0,-12.06489524308451,34.65653655026118,64.0,4592.118716894745,1967.081033391923,271893424.6788352,36875730.31790877,9084052847,403156,0.9978197025469049,0.000205875641191003,0.0
147003_24,123271,174,0,205,0,-96.2704307364569,-108.0,-83.5,-10.68633600714522,37.2709154558086,64.0,4279.358285276215,1307.747243517717,113726887.4809133,14179684.18170029,2678375571,123650,0.9969348968863728,0.001407197735543874,0.0
147003_31,574486,300,0,965,0,-95.21095097224836,-112.3571014404297,-78.65950012207031,-13.65610652603475,49.75710342577401,69.33329772949219,3699.675947444112,1611.734000580188,357698775.7807887,48826676.30102884,11156390272,575751,0.9978028696433007,0.0005210585826164436,0.0
147003_32,277007,681,0,467,0,-106.8382916393123,-119.2306976318359,-95.5238037109375,-13.01525653535786,54.25494623070065,70.4000015258789,2789.167999644731,864.2209873237929,236845270.508031,27339566.51540294,5328003647,278155,0.995872804731175,0.002448275242221064,0.0
147003_33,1031454,165,0,1966,0,-92.43731721613158,-106.888801574707,-77.5,-14.74197380714617,46.95920071653256,64.0,3604.759650391079,1806.764211376991,671239081.7480386,73696045.17099221,19829220109,1033585,0.9979382440728145,0.0001596385396459894,0.0
147003_34,236700,243,0,288,0,-95.92799554811297,-107.5832977294922,-82.51280212402344,-11.89267274672121,43.26741505830778,64.0,3706.413229695493,1534.151821312807,207207143.0894234,20260485.87460094,4916722558,237231,0.9977616753291096,0.001024318069729504,0.0
147003_41,4509,6,0,5,0,-91.74657064623537,-104.6362991333008,-80.33329772949219,-14.56987762598865,52.44781518742047,76.44439697265625,2768.924210695657,1692.218362192988,2988850.616099989,768015.2771999973,113653328,4520,0.9975663716814159,0.001327433628318584,0.0
147003_43,334,0,0,0,0,-99.79882613770262,-105.9186019897461,-92.71420288085938,-13.9460505982359,37.55900531471846,78.93329620361328,3756.448923456792,1279.843275625,55858.07920000003,11391.407,5926798,334,1.0,0.0,0.0
147003_51,1237,0,0,3,0,-97.42384732154107,-107.6666030883789,-86.45449829101562,-14.49699030730032,40.37364643576455,74.16819763183594,4357.077075332356,1752.831972878791,1118125.6007,124101.7484000001,47728035,1240,0.9975806451612903,0.0,0.0
147003_53,705,0,0,2,0,-91.79825237009786,-103.0665969848633,-83.25579833984375,-15.13907338402733,42.07060041204728,65.5999984741211,4204.267558024698,2155.441346647232,387885.1494999998,167469.8071000001,15474140,707,0.9971711456859972,0.0,0.0
147003_54,2,0,0,0,0,-100.3464508056641,-104.625,-96.06790161132812,-18.07794952392578,96.0,96.0,102.8347,3299.1786,119.0312,32.1669,98708,2,1.0,0.0,0.0
147003_61,383,0,0,0,0,-97.58114956688944,-105.9166030883789,-90.45829772949219,-15.49765636653253,75.6696668654758,96.0,3381.836083098593,1362.547072429906,334081.2646999998,22231.23889999999,13071937,383,1.0,0.0,0.0
147003_63,20,0,0,0,0,-93.21218490600586,-99.1427993774414,-88.4468002319336,-14.73947501182556,77.41345071792603,96.0,3160.3582625,954.0739,19254.7534,1792.8209,379671,20,1.0,0.0,0.0
147003_64,1,0,0,0,0,-97.1073989868164,-97.1073989868164,-97.1073989868164,-15.10739994049072,16.0,16.0,979.6481,3003.057,126.497,69.0703,51299,1,1.0,0.0,0.0
147005_11,57,0,0,0,0,-105.0070260031181,-109.8483963012695,-99.19999694824219,-11.4247052711353,77.78756120469835,96.0,5778.976045161289,1305.059880645161,139215.8931,5853.0368,2045783,57,1.0,0.0,0.0
147005_12,656,3,0,3,0,-107.7270272937786,-114.9738998413086,-99.29409790039062,-14.93841569301225,67.99115073717445,96.0,3087.598385359804,839.2901405612246,1263372.2096,53533.46319999995,11854030,662,0.9909365558912386,0.004531722054380665,0.0
147005_13,50,0,0,0,0,-101.5843562316895,-114.1999969482422,-91.72720336914062,-12.08588598251343,58.5738399887085,88.0,7645.863115,1874.84796,114111.7791,8347.135600000001,1096386,50,1.0,0.0,0.0
147005_14,2,0,0,1,0,-93.16930135091145,-100.0,-87.73650360107422,-11.93753337860107,79.5842997233073,96.0,16879.67845,1993.61505,43655.8485,3508.3358,83972,3,0.6666666666666666,0.0,0.0
147005_15,3,0,0,0,0,-95.67313385009766,-99.88459777832031,-93.34320068359375,-12.11923344930013,84.4066670735677,88.5333023071289,2960.4214,1277.643766666667,148.5819,91.8934,67329,3,1.0,0.0,0.0
147005_21,137,0,0,1,0,-103.7594905245131,-111.209602355957,-89.90899658203125,-12.14038555518441,65.32205960058397,85.33329772949219,4128.316426984127,1411.456272413793,110110.9683,5694.8411,3306994,138,0.9927536231884058,0.0,0.0
147005_22,263,0,0,2,0,-104.584012992427,-118.0383987426758,-87.88880157470703,-13.00244789483412,61.35439732813939,96.0,5658.172392857141,1341.301290909091,661486.6695999998,53111.26650000001,5153960,265,0.9924528301886792,0.0,0.0
147005_23,258,0,0,0,0,-99.40430938365847,-108.0,-90.0,-13.34051119634347,72.36451782551846,96.0,5596.720241249999,2134.688187499999,101478.0641,27159.3525,8088627,258,1.0,0.0,0.0
147005_24,185,0,0,0,0,-96.41777739653716,-102.0,-89.85710144042969,-8.762267548329122,54.09856119284759,90.6666030883789,3689.123949375002,1165.602354601228,84121.96730000005,9178.970400000006,2249937,185,1.0,0.0,0.0
147005_25,25,0,0,0,0,-96.25287994384766,-102.0,-92.0,-8.212576007843017,57.79200012207031,72.0,1541.006295833334,750.1134374999998,182.1129000000001,111.0043,311636,25,1.0,0.0,0.0
147005_31,98,1,0,1,0,-107.3366530609131,-111.777702331543,-100.8000030517578,-13.76066993713379,87.30807600350215,100.0,2025.747210526316,1003.964247368421,3539.314499999999,475.1487,1360349,100,0.98,0.01,0.0
147005_32,539,1,0,2,0,-105.4620368366312,-111.7142028808594,-99.5,-13.36431364819572,86.91944454937446,98.0,3231.894325748503,927.2677411764707,1164725.5148,291482.1006000001,9692322,542,0.9944649446494465,0.001845018450184502,0.0
147005_33,86,0,0,1,0,-106.4478919369051,-115.75,-98.0,-12.80653906416619,86.9073146727027,98.0,4052.889534615384,863.242092,8804.6513,4772.7,2533085,87,0.9885057471264368,0.0,0.0
147005_34,1,0,0,0,0,-93.22219848632812,-93.22219848632812,-93.22219848632812,-11.64640045166016,68.96549987792969,68.96549987792969,29096.5701,3222.3103,22669.8652,1059.7373,31084,1,1.0,0.0,0.0
147005_35,1,0,0,0,0,-92.71209716796875,-92.71209716796875,-92.71209716796875,-10.61359977722168,70.0,70.0,,1029.2968,0.0,2.0585,5674,1,1.0,0.0,0.0
147006_11,381,0,0,2,0,-97.47772810415562,-105.0,-91.06659698486328,-12.46674909043872,49.97230922518753,64.0,3018.269438709679,1321.075022099447,170237.0799000001,35079.72229999999,13436154,383,0.9947780678851175,0.0,0.0
147006_12,111,0,0,0,0,-105.164447956257,-116.0,-88.3823013305664,-14.59767021144833,61.3006070970415,96.0,2174.945114754099,928.0097379310346,34068.3797,4334.5762,4327997,111,1.0,0.0,0.0
147006_13,946,0,0,1,0,-100.8394722057371,-106.125,-95.44000244140625,-10.73084563514121,67.4933415687827,80.0,4551.304146846853,1557.844756554308,249763.5953,19378.80830000001,29251326,947,0.9989440337909187,0.0,0.0
147006_14,212,0,0,1,0,-97.4912768798255,-107.0,-89.36360168457031,-12.51405916079669,64.32991796169641,96.0,4281.582795238098,1443.062228368794,109003.1799000001,12079.56119999999,7590010,213,0.9953051643192489,0.0,0.0
147006_15,66,0,0,0,0,-100.1011484319513,-104.0999984741211,-93.28569793701172,-10.53784545262655,70.25221986481638,96.0,5830.745924,1866.656081818182,317555.2897,3387.1502,2838599,66,1.0,0.0,0.0
147006_21,943,0,0,0,0,-100.2555089972811,-109.2194976806641,-93.0,-12.79384017015945,53.76051997724237,92.80000305175781,2549.598038106798,1257.853541984734,324991.0942000001,24095.8013,24297658,943,1.0,0.0,0.0
147006_22,796,0,0,2,0,-101.7669999832497,-109.571403503418,-93.25,-11.97898907828749,74.22410363176883,96.0,1892.954365162909,1102.311532820514,288442.8617000004,27359.53030000001,26962405,798,0.9974937343358395,0.0,0.0
147006_23,5272,1,0,0,2,-96.775260540569,-107.8000030517578,-86.0,-13.2290478912462,50.95590494460495,64.0,4234.574850213374,1708.71648094234,1892558.602800001,114452.1129000002,168703278,5275,0.9994312796208531,0.0001895734597156398,0.0
147006_24,744,0,0,0,0,-98.6103180813533,-107.7306976318359,-87.23629760742188,-12.75559541294652,60.84950501633204,88.88880157470703,3088.677440909094,1683.212828132995,814715.9660000002,195960.1048,24602008,744,1.0,0.0,0.0
